"","text","favorited","favoriteCount","replyToSN","created","truncated","replyToSID","id","replyToUID","statusSource","screenName","retweetCount","isRetweet","retweeted","longitude","latitude"
"241","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 22:03:03,FALSE,NA,"971868928854167552",NA,"<a href=""http://www.spredfast.com"" rel=""nofollow"">Spredfast app</a>","QuestHW",350,TRUE,FALSE,NA,NA
"242","RT @reviewjournal: The H3N2 strain of the canine influenza is highly contagious and can be spread through direct contact with an infected d…",FALSE,0,NA,2018-03-08 21:58:19,FALSE,NA,"971867735863975936",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","mizdezlyn",5,TRUE,FALSE,NA,NA
"243","The H3N2 strain of the canine influenza is highly contagious and can be spread through direct contact with an infec… https://t.co/mBEuSoMGoi",FALSE,3,NA,2018-03-08 21:50:00,TRUE,NA,"971865643052974080",NA,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>","reviewjournal",5,FALSE,FALSE,NA,NA
"244","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:47:55,FALSE,NA,"971865119310442496",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","ArtSciHealth",350,TRUE,FALSE,NA,NA
"245","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:46:03,FALSE,NA,"971864648021667845",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","Toledo_CareNet",350,TRUE,FALSE,NA,NA
"246","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:44:59,FALSE,NA,"971864380211171328",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","accpinfdprn",350,TRUE,FALSE,NA,NA
"247","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:43:56,FALSE,NA,"971864117660258305",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","CACAACN",350,TRUE,FALSE,NA,NA
"248","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:37:48,FALSE,NA,"971862574995210240",NA,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>","Israelifreedom",350,TRUE,FALSE,NA,NA
"249","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:36:34,FALSE,NA,"971862264633376769",NA,"<a href=""http://twitter.com"" rel=""nofollow"">Twitter Web Client</a>","EastValleyCHC",350,TRUE,FALSE,NA,NA
"250","RT @CDCgov: Influenza activity has declined significantly, but will likely continue for several more weeks. Help stop the spread of germs a…",FALSE,0,NA,2018-03-08 21:33:11,FALSE,NA,"971861411948351489",NA,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>","DrEmilyBrunner",350,TRUE,FALSE,NA,NA
